FamilyName,FirstName
MASON, Mr Frank Archibald Robert
MAUGÉ, Mr Paul Achille Maurice Germain
MAYNARD, Mr Isaac Hiram
MAYNÉ, Mlle Berthe Antonine
MAYZES, Mr Thomas Jubilee
MCCARTHY, Miss Catherine
MCCARTHY, Mr William
MCCORMACK, Mr Thomas Joseph
MCCOY, Miss Agnes
MCCOY, Miss Alice
MCCOY, Mr Bernard
MCDERMOTT, Miss Bridget Delia
MCGANN, Mr James
MCGOUGH, Mr James Robert
MCGOUGH, Mr George Francis 'Paddy'
MCGOVERN, Miss Mary
MCGOWAN, Miss Anna Louise
MCINTYRE, Mr William
MCKAY, Mr Charles Donald
MCLAREN, Mrs Hypatia
MCMICKEN, Mr Arthur
MELLENGER, Mrs Elizabeth Anne
MELLENGER, Miss Violet Madeline
MELLORS, Mr William John
MEYER, Mrs Leila
MIDTSJØ, Mr Karl Albert
MILLS, Mr Christopher
MINAHAN, Mrs Lillian Mae
MINAHAN, Miss Ida Daisy
MOCK, Mr Philipp Edmund
MOCKLER, Miss Ellen Mary
MOOR, Mrs Beila
MOOR, Master Meier
MOORE, Mr George Alfred
MOORE, Mr J.
MORAN, Miss Bridget (Bertha)
MORRIS, Mr Frank Herbert
MOSS, Mr Albert Johan
MUBĀRIK, Mrs Amīnah
MUBĀRIK, Master Jirjis
MUBĀRIK, Master Halīm
MULLIN, Miss Kate
MULVIHILL, Miss Bridget Elizabeth (Bertha)
MURDOCK, Mr William John
MURPHY, Miss Nora
MURPHY, Miss Margaret
MURPHY, Miss Kate
MŪSÀ FRANJĪYAH, Mrs Mantūrah Būlus
MUSLAMĀNĪ, Mrs Fatīmah Muhammad
NAJĪB QIYĀMAH, Miss Adāl
NAKID, Mr Sa'īd Antūn
NAKID, Mrs Wadi'ah
NAKID, Miss Mariayam
NAṢR ALLĀH, Mrs Adāl
NAṢR ALLĀH, Mrs Zād
NAVRATIL, Master Edmond Roger
NAVRATIL, Master Michel Marcel
NEAL, Mr Harold Bentley
NEWELL, Miss Marjorie Anne
NEWELL, Miss Madeleine
NEWSOM, Miss Helen Monypeny
NICHOLS, Mr Walter Henry
NILSSON, Miss Berta Olivia
NILSSON, Miss Helmina Josefina
NĪQŪLA YĀRID, Miss Jamīlah
NĪQŪLA YĀRID, Master Ilyās
NISKANEN, Mr Juho
NOSS, Mr Henry
NOURNEY, Mr Alfred
NUTBEAN, Mr William
NYE, Mrs Elizabeth
NYSTEN, Miss Anna Sofia
O'BRIEN, Mrs Hannah
O'CONNOR, Mr John
O'DWYER, Miss Ellen
O'KEEFFE, Mr Patrick
O'LEARY, Miss Hanora
ÖHMAN, Miss Velin Matilda
OLIVA Y OCANA, Doña Fermina
OLIVER, Mr Harry
OLLIVER, Mr Alfred John
OLSEN, Master Artur Karl
OMONT, Mr Alfred Fernand
OSMAN, Mrs Mara
OSMAN, Mr Frank
OSTBY, Miss Helen Ragnhild
OTHEN, Mr Charles Alfred
OXENHAM, Mr Percy Thomas
