FamilyName,FirstName
LOBB, Mr William Arthur
LOBB, Mrs Cordelia
LOCKE, Mr Albert George
LOCKYER, Mr Edward Thomas
LONG, Mr Milton Clyde
LONG, Mr Frank
LONG, Mr William
LONGMUIR, Mr John Dickson
LORING, Mr Joseph Holland
LOUCH, Mr Charles
LOVELL, Mr John Hall
LOVELL, Mr John
LUNDAHL, Mr Johan Svensson
LYDIATT, Mr Charles
LYMPEROPOULUS, Mr Panagiotis K.
LYNTAKOFF, Mr Stanko
LYONS, Mr William Henry
MABEY, Mr John Charles
MACK, Mrs Mary
MACKAY, Mr George William
MACKIE, Mr William Dickson
MACKIE, Mr George William
MÄENPÄÄ, Mr Matti Alexanteri
MAGUIRE, Mr John Edward
MAHON, Miss Bridget Delia
MAJOR, Mr Thomas Edgar
MÄKINEN, Mr Kalle Edvard
MALACHARD, Mr Jean-Noël
MALLET, Mr Albert Denis Pierre
MANGAN, Miss Mary
MANGIAVACCHI, Mr Emilio Giovanni Andrea Onorato
MANTLE, Mr Roland Frederick
MARCH, Mr John Starr
MARDIROSIAN, Mr Sarkis
MARETT, Mr George John
MARINKO, Mr Dmitri
MARKOFF, Mr Marin
MARKS, Mr James
MARKUN, Mr Johann
MARRIOTT, Mr John William
MARSH, Mr Frederick Charles
MARVIN, Mr Daniel Warner
MASKELL, Mr Leopold Adolphus
MASON, Mr J.
MATHIAS, Mr Montague Vincent
MATHIESON, Mr David John
MATINOFF, Mr Nicola
MATTHEWS, Mr William John
MATTMANN, Mr Adolf
MAXWELL, Mr John
MAY, Mr Arthur William
MAY, Mr Arthur William
MAYBERY, Mr Frank Hubert
MAYO, Mr William Peter
MAYTUM, Mr Alfred
MCANDREW, Mr Thomas Patrick
